TestExecutive(R) Version 5.0.17
SMU诊断通过  SMU Diagnostics Passed (Version 5)
 
17 JUL 17  11:17:03
C:\USERS\C919\DESKTOP\10102_WIT_P\500V.RO
 
ABT E D S
INP "Serial number" Y ser
SERIAL NUMBER
SERIAL NUMBER\500V
SEL E:\TESTFILE\report\10102_WIT_V.TXT
ACT E:\919UT.UT
  
F 500V >30M 0.1T 0.2S
  
STP
停止
测试引擎输入中断模式，按下前进继续
ENB DIG PAT DTB
  
*绝缘测试*
INP "请输入温度，湿度" Y ser
请输入温度，湿度
请输入温度，湿度\摄氏度：26.7，湿度：57%
INP "开始" Y ser
开始
开始\
F SMU       500V      30.00M              00.200S    00.100T
:      	   	      	00945	PASS 	 619.4M   	OHM	GND
:      	FC 	50119 	     	      	         	   	1M-216-P2-10
:      	   	      	00945	PASS 	 482.9M   	OHM	GND
:      	FC 	50119 	     	      	         	   	1M-216-P2-10
:      	   	      	00945	PASS 	 550.5M   	OHM	GND
:      	FC 	50118 	     	      	         	   	1M-216-P2-9
:      	   	      	00945	PASS 	 579.6M   	OHM	GND
:      	FC 	50113 	     	      	         	   	1M-216-P2-4
:      	   	      	00945	PASS 	 559.8M   	OHM	GND
:      	FC 	10820 	     	      	         	   	1M-21H-P1-A
:      	   	      	00945	PASS 	 586.9M   	OHM	GND
:      	FC 	10821 	     	      	         	   	1M-21H-P1-B
:      	   	      	00945	PASS 	 597.5M   	OHM	GND
:      	FC 	10822 	     	      	         	   	1M-21H-P1-C
:      	   	      	00945	PASS 	 616.3M   	OHM	GND
:      	FC 	10803 	     	      	         	   	1M-21H-P2-4
:      	   	      	00945	PASS 	 627.5M   	OHM	GND
:      	FC 	10809 	     	      	         	   	1M-21H-P2-10
:      	   	      	00945	PASS 	 583.5M   	OHM	GND
:      	FC 	10809 	     	      	         	   	1M-21H-P2-10
:      	   	      	00945	PASS 	 630.5M   	OHM	GND
:      	FC 	10808 	     	      	         	   	1M-21H-P2-9
:      	   	      	00945	PASS 	 647.1M   	OHM	GND
:      	FC 	71330 	     	      	         	   	1M-21S-P1-A
:      	   	      	00945	PASS 	 557.4M   	OHM	GND
:      	FC 	71333 	     	      	         	   	1M-21S-P1-D
:      	   	      	00945	PASS 	 610.1M   	OHM	GND
:      	FC 	71334 	     	      	         	   	1M-21S-P1-E
:      	   	      	00945	PASS 	 616.6M   	OHM	GND
:      	FC 	20223 	     	      	         	   	1U-211-P1-B-F14
:      	   	      	00945	PASS 	 510.3M   	OHM	GND
:      	FC 	20235 	     	      	         	   	1U-211-P1-B-H10
:      	   	      	00945	PASS 	 553.5M   	OHM	GND
:      	FC 	20328 	     	      	         	   	1U-211-P1-E-B8
:      	   	      	00945	PASS 	 549.8M   	OHM	GND
:      	FC 	20329 	     	      	         	   	1U-211-P1-E-B9
:      	   	      	00945	PASS 	 499.2M   	OHM	GND
:      	FC 	20223 	     	      	         	   	1U-211-P1-B-F14
:      	   	      	00945	PASS 	 518.5M   	OHM	GND
:      	FC 	20328 	     	      	         	   	1U-211-P1-E-B8
:      	   	      	00945	PASS 	 557.0M   	OHM	GND
:      	FC 	20329 	     	      	         	   	1U-211-P1-E-B9
:      	   	      	00945	PASS 	 511.2M   	OHM	GND
:      	FC 	20235 	     	      	         	   	1U-211-P1-B-H10
:      	   	      	00945	PASS 	 548.3M   	OHM	GND
:      	FC 	40842 	     	      	         	   	2D-215-R1-3
:      	   	      	00945	PASS 	 621.6M   	OHM	GND
:      	FC 	40843 	     	      	         	   	2D-215-R1-4
:      	   	      	00945	PASS 	 608.3M   	OHM	GND
:      	FC 	40844 	     	      	         	   	2D-215-R1-5
:      	   	      	00945	PASS 	 643.9M   	OHM	GND
:      	FC 	40845 	     	      	         	   	2D-215-R1-6
:      	   	      	00945	PASS 	 635.4M   	OHM	GND
:      	FC 	71100 	     	      	         	   	2M-215-P1-A
:      	   	      	00945	PASS 	 598.1M   	OHM	GND
:      	FC 	71101 	     	      	         	   	2M-215-P1-B
:      	   	      	00945	PASS 	 633.1M   	OHM	GND
:      	FC 	71102 	     	      	         	   	2M-215-P1-C
:      	   	      	00945	PASS 	 657.9M   	OHM	GND
:      	FC 	71039 	     	      	         	   	2M-215-P2-10
:      	   	      	00945	PASS 	 549.9M   	OHM	GND
:      	FC 	71039 	     	      	         	   	2M-215-P2-10
:      	   	      	00945	PASS 	 589.1M   	OHM	GND
:      	FC 	71038 	     	      	         	   	2M-215-P2-9
:      	   	      	00945	PASS 	 604.4M   	OHM	GND
:      	FC 	71033 	     	      	         	   	2M-215-P2-4
:      	   	      	00945	PASS 	 622.7M   	OHM	GND
:      	FC 	50211 	     	      	         	   	2M-216-P1-B
:      	   	      	00945	PASS 	 579.2M   	OHM	GND
:      	FC 	50212 	     	      	         	   	2M-216-P1-C
:      	   	      	00945	PASS 	 612.4M   	OHM	GND
:      	FC 	50210 	     	      	         	   	2M-216-P1-A
:      	   	      	00945	PASS 	 646.7M   	OHM	GND
:      	FC 	50149 	     	      	         	   	2M-216-P2-10
:      	   	      	00945	PASS 	 574.8M   	OHM	GND
:      	FC 	50149 	     	      	         	   	2M-216-P2-10
:      	   	      	00945	PASS 	 640.5M   	OHM	GND
:      	FC 	50148 	     	      	         	   	2M-216-P2-9
:      	   	      	00945	PASS 	 649.4M   	OHM	GND
:      	FC 	50143 	     	      	         	   	2M-216-P2-4
:      	   	      	00945	PASS 	 647.8M   	OHM	GND
:      	FC 	12040 	     	      	         	   	2M-21H-P1-A
:      	   	      	00945	PASS 	 581.5M   	OHM	GND
:      	FC 	12041 	     	      	         	   	2M-21H-P1-B
:      	   	      	00945	PASS 	 602.2M   	OHM	GND
:      	FC 	12042 	     	      	         	   	2M-21H-P1-C
:      	   	      	00945	PASS 	 610.6M   	OHM	GND
:      	FC 	12029 	     	      	         	   	2M-21H-P2-10
:      	   	      	00945	PASS 	 598.7M   	OHM	GND
:      	FC 	12029 	     	      	         	   	2M-21H-P2-10
:      	   	      	00945	PASS 	 651.6M   	OHM	GND
